id,id_oeuvre,segment_numero,segment_texte,ref_niv1,ref_niv2,ref_niv3,ref_niv4,ref_niv5,ref_niv1_texte,ref_niv2_texte,ref_niv3_texte,ref_niv4_texte,ref_niv5_texte,lien_1,lien_2,lien_3,lien_4,fiabilite,nature,texte_original,notes,paragraphe,rang,page,controle_rang_manuel,controle_verifie,marquage_source
"","A0010O0023","1","En lisant les Saintes Écritures qui portent le titre de canoniques, et en collationnant avec les autres la version des Septante, il nous a paru bon, de peur d’en perdre la mémoire, de fixer par écrit les questions qui se présentaient à notre esprit.","Livre premier","Introduction","","","","Questions sur la Genèse","","","","","","","","","","introduction","","","1","1","383","","false","Codex (IA)"
"","A0010O0023","2","Tantôt nous les rappellerons en peu de mots ; tantôt nous nous contenterons de les examiner ; d’autres fois encore, nous en donnerons comme à la hâte une solution quelconque.","Livre premier","Introduction","","","","Questions sur la Genèse","","","","","","","","","","introduction","","","1","2","383","","false","Codex (IA)"
"","A0010O0023","3","Notre dessein n’est pas de les développer autant qu’il serait nécessaire, mais de pouvoir y jeter les yeux, quand besoin sera, soit pour y retrouver l’indication des recherches qu’il reste à faire, soit pour être à même d’approfondir le sujet, à l’aide de ce que nous croyons avoir déjà pu découvrir, et de répondre aux difficultés.","Livre premier","Introduction","","","","Questions sur la Genèse","","","","","","","","","","introduction","","","1","3","383","","false","Codex (IA)"
"","A0010O0023","4","Si donc il est des lecteurs que ne rebutent point les négligences de ce travail précipité, et s’ils remarquent des questions proposées et non résolues, ils ne doivent pas en conclure qu’ils ont perdu leur peine : c’est déjà avoir trouvé quelque chose, que de savoir ce que l’on cherche.","Livre premier","Introduction","","","","Questions sur la Genèse","","","","","","","","","","introduction","","","1","4","383","","false","Codex (IA)"
"","A0010O0023","5","Quand nos solutions sembleront raisonnables, qu’on ne dédaigne pas la simplicité de notre langage, qu’on soit plutôt satisfait d’y découvrir quelque portion de la vérité : car on ne cherche pas la vérité pour discuter, mais on discute pour la chercher.","Livre premier","Introduction","","","","Questions sur la Genèse","","","","","","","","","","introduction","","","1","5","383","","false","Codex (IA)"
"","A0010O0023","6","Laissons de côté les questions relatives à ce qui s’est passé depuis le commencement, alors que Dieu, suivant le récit de l’Écriture, créa le ciel et la terre, jusqu’à l’époque où il chassa du paradis les deux premières créatures humaines.","Livre premier","Introduction","","","","Questions sur la Genèse","","","","","","","","","","introduction","","","1","6","383","","false","Codex (IA)"
"","A0010O0023","7","Ces questions peuvent être traitées de plusieurs manières, et nous les avons discutées nous-même ailleurs, selon nos forces[[1]] ; voici donc celles qui nous sont venues en pensée, au courant de la lecture, et que nous avons voulu laisser par écrit.","Livre premier","Introduction","","","","Questions sur la Genèse","","","","","","","","","","introduction","","[[1]] Voir ci-devant les trois ouvrages sur la Genèse.","1","7","383","","false","Codex (IA)"
"","A0010O0023","8","Comment Caïn a-t-il pu bâtir une ville ? Une ville exige évidemment une certaine quantité d’habitants. Or, il n’est parlé que des deux chefs de la famille humaine, et des deux fils dont l’un fut mis à mort par l’autre, et remplacé par la naissance d’un troisième.","Livre premier","Question I","","","","Questions sur la Genèse","Genèse 4, 17","","","","","","","","","texte","","","1","1","383","","false","Codex (IA)"
"","A0010O0023","9","Si l’on fait cette question, n’est-ce point parce que les lecteurs s’imaginent qu’il n’y avait alors d’autres hommes que ceux dont l’Écriture rappelle la mémoire ? Mais ils ne réfléchissent pas que les deux premiers qui furent créés, et ceux qu’ils engendrèrent, vécurent assez longtemps pour en engendrer un grand nombres [<i>sic</i>] d’autres.","Livre premier","Question I","","","","Questions sur la Genèse","","","","","","","","","","texte","","","1","2","383","","false","Codex (IA)"
"","A0010O0023","10","Adam lui-même n’engendra pas seulement ceux dont les noms nous ont été conservés ; l’Écriture, parlant de lui, conclut en disant qu’il engendra des fils et des filles[[2]].","Livre premier","Question I","","","","Questions sur la Genèse","","","","","","","","","","texte","","[[2]] Gen. V, 4","1","3","383","","false","Codex (IA)"
